,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
0,2017,Alabama,1,712000,0,0,438947,1014342,1013673,877044,2103873,99585,2153080,87397,2199868,72024,2121149,147160,2169721,77272,53958
1,2018,Alabama,1,217000,0,0,438947,1014342,1013673,877044,2103873,99585,2153080,87397,2199868,72024,2121149,147160,2169721,77272,53958
2,2019,Alabama,1,680000,0,0,438947,1014342,1013673,877044,2103873,99585,2153080,87397,2199868,72024,2121149,147160,2169721,77272,53958
3,2020,Alabama,1,794000,362015,7189,438947,1014342,1013673,877044,2103873,99585,2153080,87397,2199868,72024,2121149,147160,2169721,77272,53958
4,2021,Alabama,1,794000,904526,16747,438947,1014342,1013673,877044,2103873,99585,2153080,87397,2199868,72024,2121149,147160,2169721,77272,53958
5,2017,Alaska,2,94000,0,0,33176,137486,167807,144967,337108,23481,334241,21211,333541,19342,318279,28604,332266,22670,79961
6,2018,Alaska,2,1056000,0,0,33176,137486,167807,144967,337108,23481,334241,21211,333541,19342,318279,28604,332266,22670,79961
7,2019,Alaska,2,105000,0,0,33176,137486,167807,144967,337108,23481,334241,21211,333541,19342,318279,28604,332266,22670,79961
8,2020,Alaska,2,108000,45771,281,33176,137486,167807,144967,337108,23481,334241,21211,333541,19342,318279,28604,332266,22670,79961
9,2021,Alaska,2,113000,151583,947,33176,137486,167807,144967,337108,23481,334241,21211,333541,19342,318279,28604,332266,22670,79961
10,2017,Arizona,4,920000,0,0,587919,1151988,1637451,1468698,3079700,160411,3168469,159720,3265925,166551,3191100,265752,3346319,172106,64652
11,2018,Arizona,4,422000,0,0,587919,1151988,1637451,1468698,3079700,160411,3168469,159720,3265925,166551,3191100,265752,3346319,172106,64652
12,2019,Arizona,4,902000,0,0,587919,1151988,1637451,1468698,3079700,160411,3168469,159720,3265925,166551,3191100,265752,3346319,172106,64652
13,2020,Arizona,4,1030000,520559,8864,587919,1151988,1637451,1468698,3079700,160411,3168469,159720,3265925,166551,3191100,265752,3346319,172106,64652
14,2021,Arizona,4,1099000,1381488,24229,587919,1151988,1637451,1468698,3079700,160411,3168469,159720,3265925,166551,3191100,265752,3346319,172106,64652
15,2017,Arkansas,5,441000,0,0,260360,686812,596855,482695,1297854,50234,1302629,49057,1318465,47325,1274070,82509,1278984,53636,51146
16,2018,Arkansas,5,217000,0,0,260360,686812,596855,482695,1297854,50234,1302629,49057,1318465,47325,1274070,82509,1278984,53636,51146
17,2019,Arkansas,5,468000,0,0,260360,686812,596855,482695,1297854,50234,1302629,49057,1318465,47325,1274070,82509,1278984,53636,51146
18,2020,Arkansas,5,457000,225138,3676,260360,686812,596855,482695,1297854,50234,1302629,49057,1318465,47325,1274070,82509,1278984,53636,51146
19,2021,Arkansas,5,460000,566486,9148,260360,686812,596855,482695,1297854,50234,1302629,49057,1318465,47325,1274070,82509,1278984,53636,51146
20,2017,California,6,5241000,0,0,4286538,5431385,7690347,9256873,18258064,927302,18468143,821364,18612607,796806,16996666,1934450,17541944,1381250,83001
21,2018,California,6,136000,0,0,4286538,5431385,7690347,9256873,18258064,927302,18468143,821364,18612607,796806,16996666,1934450,17541944,1381250,83001
22,2019,California,6,5072000,0,0,4286538,5431385,7690347,9256873,18258064,927302,18468143,821364,18612607,796806,16996666,1934450,17541944,1381250,83001
23,2020,California,6,5566000,2231552,25374,4286538,5431385,7690347,9256873,18258064,927302,18468143,821364,18612607,796806,16996666,1934450,17541944,1381250,83001
24,2021,California,6,5864000,5477529,75847,4286538,5431385,7690347,9256873,18258064,927302,18468143,821364,18612607,796806,16996666,1934450,17541944,1381250,83001
25,2017,Colorado,8,710000,0,0,308785,827081,1142035,1622853,2885980,77810,2957690,91950,3019934,80664,2874857,212414,2986711,169399,77688
26,2018,Colorado,8,540000,0,0,308785,827081,1142035,1622853,2885980,77810,2957690,91950,3019934,80664,2874857,212414,2986711,169399,77688
27,2019,Colorado,8,832000,0,0,308785,827081,1142035,1622853,2885980,77810,2957690,91950,3019934,80664,2874857,212414,2986711,169399,77688
28,2020,Colorado,8,924000,347279,4814,308785,827081,1142035,1622853,2885980,77810,2957690,91950,3019934,80664,2874857,212414,2986711,169399,77688
29,2021,Colorado,8,1014000,955270,10271,308785,827081,1142035,1622853,2885980,77810,2957690,91950,3019934,80664,2874857,212414,2986711,169399,77688
30,2017,Connecticut,9,454000,0,0,225550,655381,612274,996000,1838833,84878,1855969,75526,1881688,68661,1749954,147828,1739815,116108,79723
31,2018,Connecticut,9,1365000,0,0,225550,655381,612274,996000,1838833,84878,1855969,75526,1881688,68661,1749954,147828,1739815,116108,79723
32,2019,Connecticut,9,500000,0,0,225550,655381,612274,996000,1838833,84878,1855969,75526,1881688,68661,1749954,147828,1739815,116108,79723
33,2020,Connecticut,9,526000,185708,5995,225550,655381,612274,996000,1838833,84878,1855969,75526,1881688,68661,1749954,147828,1739815,116108,79723
34,2021,Connecticut,9,531000,510188,9160,225550,655381,612274,996000,1838833,84878,1855969,75526,1881688,68661,1749954,147828,1739815,116108,79723
35,2017,Delaware,10,136000,0,0,63843,210998,182986,222043,453949,21265,462143,18011,466856,17989,449114,36699,469875,26555,71335
36,2018,Delaware,10,154000,0,0,63843,210998,182986,222043,453949,21265,462143,18011,466856,17989,449114,36699,469875,26555,71335
37,2019,Delaware,10,129000,0,0,63843,210998,182986,222043,453949,21265,462143,18011,466856,17989,449114,36699,469875,26555,71335
38,2020,Delaware,10,149000,57512,1127,63843,210998,182986,222043,453949,21265,462143,18011,466856,17989,449114,36699,469875,26555,71335
39,2021,Delaware,10,157000,178886,2400,63843,210998,182986,222043,453949,21265,462143,18011,466856,17989,449114,36699,469875,26555,71335
40,2017,Florida,12,2463000,0,0,1751798,4308542,4535040,4659946,9544892,428098,9734029,373162,9928235,330963,9267151,827727,9843057,469711,61724
41,2018,Florida,12,710000,0,0,1751798,4308542,4535040,4659946,9544892,428098,9734029,373162,9928235,330963,9267151,827727,9843057,469711,61724
42,2019,Florida,12,2769000,0,0,1751798,4308542,4535040,4659946,9544892,428098,9734029,373162,9928235,330963,9267151,827727,9843057,469711,61724
43,2020,Florida,12,2889000,1317326,23306,1751798,4308542,4535040,4659946,9544892,428098,9734029,373162,9928235,330963,9267151,827727,9843057,469711,61724
44,2021,Florida,12,2903000,4249748,63184,1751798,4308542,4535040,4659946,9544892,428098,9734029,373162,9928235,330963,9267151,827727,9843057,469711,61724
45,2017,Georgia,13,1365000,0,0,848653,1925374,1969736,2252662,4864813,243076,4915713,205459,4967503,185441,4751105,328450,4983732,203237,62800
46,2018,Georgia,13,178000,0,0,848653,1925374,1969736,2252662,4864813,243076,4915713,205459,4967503,185441,4751105,328450,4983732,203237,62800
47,2019,Georgia,13,1341000,0,0,848653,1925374,1969736,2252662,4864813,243076,4915713,205459,4967503,185441,4751105,328450,4983732,203237,62800
48,2020,Georgia,13,1405000,666452,10934,848653,1925374,1969736,2252662,4864813,243076,4915713,205459,4967503,185441,4751105,328450,4983732,203237,62800
49,2021,Georgia,13,1406000,1839879,31443,848653,1925374,1969736,2252662,4864813,243076,4915713,205459,4967503,185441,4751105,328450,4983732,203237,62800
50,2017,Hawaii,15,178000,0,0,74875,272031,315028,334489,679865,15438,675681,16301,667914,16776,582979,79512,630187,38226,86878
51,2018,Hawaii,15,712000,0,0,74875,272031,315028,334489,679865,15438,675681,16301,667914,16776,582979,79512,630187,38226,86878
52,2019,Hawaii,15,165000,0,0,74875,272031,315028,334489,679865,15438,675681,16301,667914,16776,582979,79512,630187,38226,86878
