State,Tot_Cases,Tot_Deaths
Alaska,45771,281
Alabama,362015,7189
Arkansas,225138,3676
Arizona,520559,8864
California,2231552,25374
Colorado,347279,4814
Connecticut,185708,5995
Delaware,57512,1127
District of Columbia,28983,786
Florida,1317326,23306
Georgia,666452,10934
Hawaii,21026,286
Idaho,141077,1436
Illinois,963389,17978
Indiana,511698,8236
Iowa,280669,3891
Kansas,222433,2741
Kentucky,275018,4861
Louisiana,315275,7488
Maine,25924,347
Maryland,276662,6257
Massachusetts,375178,12613
Michigan,589728,13816
Minnesota,415302,5382
Mississippi,221928,5646
Missouri,449569,6856
Montana,81555,961
Nebraska,167233,1651
Nevada,224731,3125
New Hampshire,44028,758
New Jersey,527784,19042
New Mexico,142864,2385
New York,548154,12566
North Carolina,547683,7925
North Dakota,92770,1309
Ohio,700380,8962
Oklahoma,325524,4564
Oregon,113909,1477
Pennsylvania,648569,15978
Rhode Island,85399,1778
South Carolina,317430,5306
South Dakota,99164,1488
Tennessee,576157,6810
Texas,1756172,31282
Utah,276612,1269
Vermont,6970,145
Virginia,354767,5081
Washington,244803,3461
Wisconsin,520438,5242
West Virginia,85334,1338
Wyoming,44409,438
