State,18_or_Older_AMI_Total
New Jersey,1112000
Texas,3347000
Maryland,781000
Hawaii,185000
Virginia,1115000
Florida,2889000
South Dakota,112000
Iowa,441000
Illinois,1754000
Nebraska,257000
Connecticut,526000
Georgia,1405000
Pennsylvania,1814000
New York,2802000
Tennessee,937000
South Carolina,706000
California,5566000
North Carolina,1469000
Michigan,1469000
New Mexico,300000
North Dakota,108000
Arizona,1030000
Wisconsin,859000
Minnesota,819000
Mississippi,431000
Kansas,420000
Montana,163000
Delaware,149000
Arkansas,457000
Wyoming,88000
Oklahoma,592000
Alabama,794000
Alaska,108000
New Hampshire,221000
Louisiana,715000
Vermont,104000
Nevada,474000
Indiana,1125000
Maine,223000
Massachusetts,1155000
Rhode Island,178000
Idaho,293000
Ohio,1906000
Missouri,993000
Colorado,924000
Kentucky,746000
District of Columbia,125000
Washington,1269000
Oregon,731000
West Virginia,337000
Utah,550000
