,State,FIPS,StAbb,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Alaska,2,AK,33176,137486,167807,144967
1,Alabama,1,AL,438947,1014342,1013673,877044
2,Arkansas,5,AR,260360,686812,596855,482695
3,Arizona,4,AZ,587919,1151988,1637451,1468698
4,California,6,CA,4286538,5431385,7690347,9256873
5,Colorado,8,CO,308785,827081,1142035,1622853
6,Connecticut,9,CT,225550,655381,612274,996000
7,Delaware,10,DE,63843,210998,182986,222043
8,Florida,12,FL,1751798,4308542,4535040,4659946
9,Georgia,13,GA,848653,1925374,1969736,2252662
10,Hawaii,15,HI,74875,272031,315028,334489
11,Iowa,19,IA,158401,647371,681977,617115
12,Idaho,16,ID,100189,305717,411091,328347
13,Illinois,17,IL,898338,2220409,2482679,3085274
14,Indiana,18,IN,476425,1482396,1294565,1212794
15,Kansas,20,KS,165373,494226,603778,648613
16,Kentucky,21,KY,389642,990196,895321,759332
17,Massachusetts,25,MA,429794,1133358,1108037,2144142
18,Maryland,24,MD,393028,1006008,1062484,1703178
19,Maine,23,ME,66525,307457,289228,319175
20,Michigan,26,MI,596313,1955654,2246576,2055131
21,Minnesota,27,MN,252331,921198,1230334,1398575
22,Missouri,29,MO,393045,1275987,1257176,1250584
23,Mississippi,28,MS,291035,596914,643964,451199
24,Montana,30,MT,44228,206206,240758,243496
25,North Carolina,37,NC,815216,1806403,2201264,2273890
26,North Dakota,38,ND,34308,129837,180727,152653
27,Nebraska,31,NE,106184,324098,419943,409315
28,New Hampshire,33,NH,65455,264953,276069,364685
29,New Jersey,34,NJ,600761,1649853,1405825,2513062
30,New Mexico,35,NM,191076,370125,455809,398288
31,Nevada,32,NV,273999,584698,702126,532997
32,New York,36,NY,1743890,3474389,3318086,5112792
33,Ohio,39,OH,738770,2629870,2330787,2315539
34,Oklahoma,40,OK,299032,812618,817128,682902
35,Oregon,41,OR,260785,667341,1003660,1013044
36,Pennsylvania,42,PA,809967,3072381,2201133,2906517
37,Puerto Rico,72,PR,524320,654014,531160,621800
38,Rhode Island,44,RI,80258,207358,194110,259644
39,South Carolina,45,SC,410334,1014022,1069964,1018306
40,South Dakota,46,SD,45170,175340,189743,169991
41,Tennessee,47,TN,547733,1479648,1313494,1308972
42,Texas,48,TX,2884734,4559034,5343905,5662178
43,Utah,49,UT,131710,425180,663512,648070
44,Virginia,51,VA,563601,1392823,1571035,2304490
45,Vermont,50,VT,28757,124892,113112,175328
46,Washington,53,WA,431403,1133689,1727441,1907238
47,Wisconsin,55,WI,295207,1205321,1255043,1226547
48,West Virginia,54,WV,159031,513143,338270,273425
49,Wyoming,56,WY,25201,112183,144736,110699
