,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher
0,2017,Alabama,1,712000,0,0,438947,1014342,1013673,877044
1,2018,Alabama,1,217000,0,0,438947,1014342,1013673,877044
2,2019,Alabama,1,680000,0,0,438947,1014342,1013673,877044
3,2020,Alabama,1,794000,362015,7189,438947,1014342,1013673,877044
4,2021,Alabama,1,794000,904526,16747,438947,1014342,1013673,877044
5,2017,Alaska,2,94000,0,0,33176,137486,167807,144967
6,2018,Alaska,2,1056000,0,0,33176,137486,167807,144967
7,2019,Alaska,2,105000,0,0,33176,137486,167807,144967
8,2020,Alaska,2,108000,45771,281,33176,137486,167807,144967
9,2021,Alaska,2,113000,151583,947,33176,137486,167807,144967
10,2017,Arizona,4,920000,0,0,587919,1151988,1637451,1468698
11,2018,Arizona,4,422000,0,0,587919,1151988,1637451,1468698
12,2019,Arizona,4,902000,0,0,587919,1151988,1637451,1468698
13,2020,Arizona,4,1030000,520559,8864,587919,1151988,1637451,1468698
14,2021,Arizona,4,1099000,1381488,24229,587919,1151988,1637451,1468698
15,2017,Arkansas,5,441000,0,0,260360,686812,596855,482695
16,2018,Arkansas,5,217000,0,0,260360,686812,596855,482695
17,2019,Arkansas,5,468000,0,0,260360,686812,596855,482695
18,2020,Arkansas,5,457000,225138,3676,260360,686812,596855,482695
19,2021,Arkansas,5,460000,566486,9148,260360,686812,596855,482695
20,2017,California,6,5241000,0,0,4286538,5431385,7690347,9256873
21,2018,California,6,136000,0,0,4286538,5431385,7690347,9256873
22,2019,California,6,5072000,0,0,4286538,5431385,7690347,9256873
23,2020,California,6,5566000,2231552,25374,4286538,5431385,7690347,9256873
24,2021,California,6,5864000,5477529,75847,4286538,5431385,7690347,9256873
25,2017,Colorado,8,710000,0,0,308785,827081,1142035,1622853
26,2018,Colorado,8,540000,0,0,308785,827081,1142035,1622853
27,2019,Colorado,8,832000,0,0,308785,827081,1142035,1622853
28,2020,Colorado,8,924000,347279,4814,308785,827081,1142035,1622853
29,2021,Colorado,8,1014000,955270,10271,308785,827081,1142035,1622853
30,2017,Connecticut,9,454000,0,0,225550,655381,612274,996000
31,2018,Connecticut,9,1365000,0,0,225550,655381,612274,996000
32,2019,Connecticut,9,500000,0,0,225550,655381,612274,996000
33,2020,Connecticut,9,526000,185708,5995,225550,655381,612274,996000
34,2021,Connecticut,9,531000,510188,9160,225550,655381,612274,996000
35,2017,Delaware,10,136000,0,0,63843,210998,182986,222043
36,2018,Delaware,10,154000,0,0,63843,210998,182986,222043
37,2019,Delaware,10,129000,0,0,63843,210998,182986,222043
38,2020,Delaware,10,149000,57512,1127,63843,210998,182986,222043
39,2021,Delaware,10,157000,178886,2400,63843,210998,182986,222043
40,2017,Florida,12,2463000,0,0,1751798,4308542,4535040,4659946
41,2018,Florida,12,710000,0,0,1751798,4308542,4535040,4659946
42,2019,Florida,12,2769000,0,0,1751798,4308542,4535040,4659946
43,2020,Florida,12,2889000,1317326,23306,1751798,4308542,4535040,4659946
44,2021,Florida,12,2903000,4249748,63184,1751798,4308542,4535040,4659946
45,2017,Georgia,13,1365000,0,0,848653,1925374,1969736,2252662
46,2018,Georgia,13,178000,0,0,848653,1925374,1969736,2252662
47,2019,Georgia,13,1341000,0,0,848653,1925374,1969736,2252662
48,2020,Georgia,13,1405000,666452,10934,848653,1925374,1969736,2252662
49,2021,Georgia,13,1406000,1839879,31443,848653,1925374,1969736,2252662
50,2017,Hawaii,15,178000,0,0,74875,272031,315028,334489
51,2018,Hawaii,15,712000,0,0,74875,272031,315028,334489
52,2019,Hawaii,15,165000,0,0,74875,272031,315028,334489
53,2020,Hawaii,15,185000,21026,286,74875,272031,315028,334489
54,2021,Hawaii,15,187000,109576,1079,74875,272031,315028,334489
55,2017,Idaho,16,244000,0,0,100189,305717,411091,328347
56,2018,Idaho,16,3229000,0,0,100189,305717,411091,328347
57,2019,Idaho,16,262000,0,0,100189,305717,411091,328347
58,2020,Idaho,16,293000,141077,1436,100189,305717,411091,328347
59,2021,Idaho,16,311000,319382,4162,100189,305717,411091,328347
60,2017,Illinois,17,1587000,0,0,898338,2220409,2482679,3085274
61,2018,Illinois,17,920000,0,0,898338,2220409,2482679,3085274
62,2019,Illinois,17,1526000,0,0,898338,2220409,2482679,3085274
63,2020,Illinois,17,1754000,963389,17978,898338,2220409,2482679,3085274
64,2021,Illinois,17,1858000,2181009,31017,898338,2220409,2482679,3085274
65,2017,Indiana,18,993000,0,0,476425,1482396,1294565,1212794
66,2018,Indiana,18,1124000,0,0,476425,1482396,1294565,1212794
67,2019,Indiana,18,988000,0,0,476425,1482396,1294565,1212794
68,2020,Indiana,18,1125000,511698,8236,476425,1482396,1294565,1212794
69,2021,Indiana,18,1129000,1246854,19037,476425,1482396,1294565,1212794
70,2017,Iowa,19,392000,0,0,158401,647371,681977,617115
71,2018,Iowa,19,102000,0,0,158401,647371,681977,617115
72,2019,Iowa,19,418000,0,0,158401,647371,681977,617115
73,2020,Iowa,19,441000,280669,3891,158401,647371,681977,617115
74,2021,Iowa,19,473000,582348,7858,158401,647371,681977,617115
75,2017,Kansas,20,371000,0,0,165373,494226,603778,648613
76,2018,Kansas,20,244000,0,0,165373,494226,603778,648613
77,2019,Kansas,20,387000,0,0,165373,494226,603778,648613
78,2020,Kansas,20,420000,222433,2741,165373,494226,603778,648613
79,2021,Kansas,20,442000,519544,7001,165373,494226,603778,648613
80,2017,Kentucky,21,663000,0,0,389642,990196,895321,759332
81,2018,Kentucky,21,305000,0,0,389642,990196,895321,759332
82,2019,Kentucky,21,737000,0,0,389642,990196,895321,759332
83,2020,Kentucky,21,746000,275018,4861,389642,990196,895321,759332
84,2021,Kentucky,21,762000,880163,13063,389642,990196,895321,759332
85,2017,Maine,23,217000,0,0,66525,307457,289228,319175
86,2018,Maine,23,309000,0,0,66525,307457,289228,319175
87,2019,Maine,23,187000,0,0,66525,307457,289228,319175
88,2020,Maine,23,223000,25924,347,66525,307457,289228,319175
89,2021,Maine,23,238000,154173,1531,66525,307457,289228,319175
90,2017,Maryland,24,735000,0,0,393028,1006008,1062484,1703178
91,2018,Maryland,24,5241000,0,0,393028,1006008,1062484,1703178
92,2019,Maryland,24,758000,0,0,393028,1006008,1062484,1703178
93,2020,Maryland,24,781000,276662,6257,393028,1006008,1062484,1703178
94,2021,Maryland,24,810000,720888,11875,393028,1006008,1062484,1703178
95,2017,Massachusetts,25,1056000,0,0,429794,1133358,1108037,2144142
96,2018,Massachusetts,25,1106000,0,0,429794,1133358,1108037,2144142
97,2019,Massachusetts,25,1034000,0,0,429794,1133358,1108037,2144142
98,2020,Massachusetts,25,1155000,375178,12613,429794,1133358,1108037,2144142
99,2021,Massachusetts,25,1157000,1140614,20273,429794,1133358,1108037,2144142
100,2017,Michigan,26,1441000,0,0,596313,1955654,2246576,2055131
101,2018,Michigan,26,735000,0,0,596313,1955654,2246576,2055131
102,2019,Michigan,26,1320000,0,0,596313,1955654,2246576,2055131
103,2020,Michigan,26,1469000,589728,13816,596313,1955654,2246576,2055131
104,2021,Michigan,26,1571000,1710271,29019,596313,1955654,2246576,2055131
105,2017,Minnesota,27,806000,0,0,252331,921198,1230334,1398575
106,2018,Minnesota,27,392000,0,0,252331,921198,1230334,1398575
107,2019,Minnesota,27,759000,0,0,252331,921198,1230334,1398575
108,2020,Minnesota,27,819000,415302,5382,252331,921198,1230334,1398575
109,2021,Minnesota,27,876000,1022212,10656,252331,921198,1230334,1398575
110,2017,Mississippi,28,422000,0,0,291035,596914,643964,451199
111,2018,Mississippi,28,663000,0,0,291035,596914,643964,451199
112,2019,Mississippi,28,385000,0,0,291035,596914,643964,451199
113,2020,Mississippi,28,431000,221928,5646,291035,596914,643964,451199
114,2021,Mississippi,28,446000,543737,10450,291035,596914,643964,451199
115,2017,Missouri,29,862000,0,0,393045,1275987,1257176,1250584
116,2018,Missouri,29,678000,0,0,393045,1275987,1257176,1250584
117,2019,Missouri,29,828000,0,0,393045,1275987,1257176,1250584
118,2020,Missouri,29,993000,449569,6856,393045,1275987,1257176,1250584
119,2021,Missouri,29,1056000,1006913,16074,393045,1275987,1257176,1250584
120,2017,Montana,30,154000,0,0,44228,206206,240758,243496
121,2018,Montana,30,636000,0,0,44228,206206,240758,243496
122,2019,Montana,30,164000,0,0,44228,206206,240758,243496
123,2020,Montana,30,163000,81555,961,44228,206206,240758,243496
124,2021,Montana,30,171000,197724,2906,44228,206206,240758,243496
125,2017,Nebraska,31,251000,0,0,106184,324098,419943,409315
126,2018,Nebraska,31,1441000,0,0,106184,324098,419943,409315
127,2019,Nebraska,31,258000,0,0,106184,324098,419943,409315
128,2020,Nebraska,31,257000,167233,1651,106184,324098,419943,409315
129,2021,Nebraska,31,290000,342939,3341,106184,324098,419943,409315
130,2017,Nevada,32,392000,0,0,273999,584698,702126,532997
131,2018,Nevada,32,392000,0,0,273999,584698,702126,532997
132,2019,Nevada,32,404000,0,0,273999,584698,702126,532997
