,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
0,AK,76993509,0,0,263307,0,406984,0,0,1109,0
1,AL,495866086,372514245,123351841,1370792,388554,8946436,7052062,1894374,19781,4602
2,AR,314253729,0,0,871467,247126,4678130,0,0,11316,2830
3,AS,618133,0,0,6505,0,2546,0,0,31,0
4,AZ,762685906,691776565,70849280,2145765,256800,12984264,11445303,1537111,30810,3994
5,CA,3305642241,3159478078,146164163,10035241,534865,41363286,20529490,0,91795,0
6,CO,499355370,458969735,40385635,1546422,142342,5328084,4672568,655516,12783,1509
7,CT,282636713,256463850,25991615,819915,87368,6071140,4950197,1113088,11051,2211
8,DC,48506690,0,0,157435,0,796495,0,0,1351,0
9,DE,94405711,87147778,7257933,286412,25893,1378168,1244272,133896,2984,305
10,FL,2202577503,0,0,6547636,1449855,32437927,0,0,76119,5231
11,FSM,4088,4088,0,31,0,0,0,0,0,0
12,GA,982508875,778218093,204290780,2656707,601276,16220621,13955988,2255881,38219,6093
13,GU,12787904,0,0,52644,8470,134108,0,0,368,0
14,HI,64290688,0,0,304073,44495,499260,0,0,1512,0
15,IA,309149461,0,0,796126,183667,4293121,0,0,9703,9703
16,ID,169225668,134830601,34375774,466007,102701,1900529,1596179,304047,4988,927
17,IL,1182162104,1181507711,308537,3451749,0,18390239,16624934,1754118,38633,4456
18,IN,645097145,0,0,1780965,0,10341882,9960378,381504,23899,976
19,KS,284373178,222455911,61892572,812329,203525,3671086,0,0,8961,1702
20,KY,457561503,326186260,131375243,1412614,449955,6468016,5657070,810946,16207,2249
21,LA,455590720,0,0,1238233,303233,8531595,7594816,922299,17424,2599
22,MA,619618704,574075349,42824583,1930641,158099,12658590,12296014,362576,24775,1246
23,MD,391423235,0,0,1143571,0,7096880,6931941,164939,14822,261
24,ME,73002917,53450188,19552729,271183,75683,763835,706126,57709,2453,283
25,MI,877859662,775955461,101904201,2618708,345546,15943212,14876173,1067039,31482,3056
26,MN,526499487,0,0,1545398,218791,5671785,5407054,263593,12933,321
27,MO,543215972,0,0,1499222,274695,8000275,0,0,17825,1070
28,MP,1921988,1921988,0,11829,0,7085,7085,0,35,0
29,MS,303544783,180404445,123140338,830847,381753,5901062,4128489,1772573,11287,4281
30,MT,101041034,85176721,15856800,285323,65677,1315735,1315605,0,3362,0
31,NC,934496795,795512254,138984541,2895544,485665,10596145,9385092,1211053,25259,3247
32,ND,94292945,79058076,15228952,251213,64121,1076789,0,0,2296,0
33,NE,187137676,88141836,32405766,481538,150419,1766936,912527,185711,3949,477
34,NH,97088377,0,0,333251,33450,1051385,0,0,2594,289
35,NJ,845572951,680933107,103860321,2514697,363510,19354698,17453193,1865303,32259,1264
36,NM,186267006,0,0,568434,0,3113265,0,0,7752,365
37,NV,279599806,267986956,9916491,749695,36374,4410615,0,0,10688,0
38,NY,996860614,0,0,3015461,0,14519744,0,0,28602,0
39,NYC,848031741,719263916,128767822,2623248,398614,25255877,21176203,4079674,40820,5559
40,OH,982566597,792135481,190363978,2844299,661077,15237951,15066118,169129,35089,0
41,OK,397769476,300218863,94140493,1084914,296942,5831460,4577885,1253575,13475,3282
42,OR,226902338,226526918,346826,819681,0,2584834,2580950,2976,7836,0
43,PA,1021980759,856397379,165583380,3001174,524716,20109447,0,0,45667,4804
44,PR,159352259,104768312,54583947,782325,416742,1842845,1540767,302078,4592,800
45,PW,689564,0,0,5269,0,858,0,0,6,0
46,RI,124905756,0,0,384220,0,1885076,0,0,3613,0
47,RMI,3707,3690,17,44,0,0,0,0,0,0
48,SC,542466098,440465473,102000625,1560139,344317,7620027,0,0,18043,2652
49,SD,98573052,0,0,245029,0,1358512,1200979,157423,2940,0
50,TN,766478050,609330817,157147233,2122011,511041,10036361,7829306,2207055,24214,7266
51,TX,2567605602,0,0,6958176,1234340,38969320,0,0,87198,0
52,UT,352524756,352453618,29031,982895,0,1870480,1801783,68369,4824,232
53,VA,607772374,454516099,153171089,1887431,540710,8319800,7041339,1276230,20551,3440
54,VI,5018492,0,0,20918,0,40458,0,0,118,0
55,VT,30092327,0,0,126541,7460,223570,0,0,654,50
56,WA,473174567,0,0,1677766,243589,5091797,0,0,13303,0
57,WI,599293535,535295736,63936207,1733034,207848,5949202,5373994,572981,14826,1670
58,WV,163540582,129183836,34346780,535776,114979,2455162,0,0,7006,1125
59,WY,57594682,46512073,11079344,165619,35327,664090,664086,2,1834,0
