FIPS,State,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
1,Alabama,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2199868,72024,2121149,147160,2169721,77272,53958
2,Alaska,360589,337108,23481,6.5,355452,334241,21211,6.0,333541,19342,318279,28604,332266,22670,79961
4,Arizona,3240111,3079700,160411,5.0,3328189,3168469,159720,4.8,3265925,166551,3191100,265752,3346319,172106,64652
5,Arkansas,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1318465,47325,1274070,82509,1278984,53636,51146
6,California,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,18612607,796806,16996666,1934450,17541944,1381250,83001
8,Colorado,2963790,2885980,77810,2.6,3049640,2957690,91950,3.0,3019934,80664,2874857,212414,2986711,169399,77688
9,Connecticut,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1881688,68661,1749954,147828,1739815,116108,79723
10,Delaware,475214,453949,21265,4.5,480154,462143,18011,3.8,466856,17989,449114,36699,469875,26555,71335
12,Florida,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,9928235,330963,9267151,827727,9843057,469711,61724
13,Georgia,5107889,4864813,243076,4.8,5121172,4915713,205459,4.0,4967503,185441,4751105,328450,4983732,203237,62800
15,Hawaii,695303,679865,15438,2.2,691982,675681,16301,2.4,667914,16776,582979,79512,630187,38226,86878
16,Idaho,839776,812875,26901,3.2,862513,837514,24999,2.9,862864,26330,848741,48998,884328,32728,62603
17,Illinois,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6308535,260280,5781084,585632,5935974,382941,71243
18,Indiana,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3282443,111320,3083159,239670,3203166,118382,60794
19,Iowa,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1704063,45557,1595824,86433,1605206,70869,62362
20,Kansas,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1450705,46812,1408965,84741,1447323,48342,63214
21,Kentucky,2053398,1955234,98164,4.8,2054913,1968398,86515,4.2,1986171,84238,1886999,129803,1941737,95205,54074
22,Louisiana,2108485,2000487,107998,5.1,2112495,2010719,101776,4.8,2010405,98005,1882665,179510,1949403,113089,51730
23,Maine,703871,680164,23707,3.4,703138,681334,21804,3.1,682271,19360,641262,33969,650334,31550,59145
24,Maryland,3243896,3114580,129316,4.0,3261068,3142323,118745,3.6,3212155,114342,3012106,215421,2992228,183322,88589
25,Massachusetts,3724520,3582389,142131,3.8,3809873,3678445,131428,3.4,3714547,117400,3390249,351435,3535478,215392,87288
26,Michigan,4911247,4685853,225394,4.6,4940313,4734158,206155,4.2,4766050,203244,4361873,484140,4495651,280459,61352
27,Minnesota,3071006,2963830,107176,3.5,3085627,2989055,96572,3.1,3021984,107860,2925515,197466,2918393,102967,75489
28,Mississippi,1272685,1206102,66583,5.2,1268435,1205737,62698,4.9,1207543,69600,1145211,98304,1184401,69838,47368
29,Missouri,3053526,2939306,114220,3.7,3045865,2949910,95955,3.2,2976643,95430,2853353,183809,2928368,134081,58812
30,Montana,528441,506871,21570,4.1,533821,513858,19963,3.7,522898,19381,511616,31301,531202,18541,57730
