FIPS,State,18 or Older Estimate,18-25 Estimate,26 or Older Estimate
01,Alabama,794,142,652
02,Alaska,113,23,90
04,Arizona,1099,218,882
05,Arkansas,460,84,376
06,California,5864,1112,4752
08,Colorado,1014,202,812
09,Connecticut,526,110,416
10,Delaware,157,28,129
11,District of Columbia,129,24,105
12,Florida,2903,493,2410
13,Georgia,1406,276,1130
15,Hawaii,185,33,152
16,Idaho,293,59,234
17,Illinois,1858,374,1484
18,Indiana,1125,222,904
19,Iowa,441,95,347
20,Kansas,442,89,352
21,Kentucky,762,125,637
22,Louisiana,734,127,607
23,Maine,238,39,199
24,Maryland,810,167,643
25,Massachusetts,1157,233,924
26,Michigan,1571,306,1265
27,Minnesota,876,182,694
28,Mississippi,446,78,368
29,Missouri,1056,195,861
30,Montana,171,31,140
31,Nebraska,290,65,225
32,Nevada,512,81,431
33,New Hampshire,243,47,196
34,New Jersey,1122,217,905
35,New Mexico,338,59,279
36,New York,2972,555,2417
37,North Carolina,1532,286,1246
38,North Dakota,116,27,89
39,Ohio,2112,385,1728
40,Oklahoma,657,131,526
41,Oregon,783,135,647
42,Pennsylvania,1963,385,1579
44,Rhode Island,187,36,152
45,South Carolina,760,122,639
46,South Dakota,118,27,92
47,Tennessee,1006,194,812
48,Texas,3602,724,2878
49,Utah,599,138,461
50,Vermont,112,22,90
51,Virginia,1199,247,951
53,Washington,1360,236,1124
54,West Virginia,347,55,292
55,Wisconsin,904,180,724
56,Wyoming,98,18,80
