FIPS,State,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
1,Alabama,2199868,72024,2121149,147160,2169721,77272,53958,100
2,Alaska,333541,19342,318279,28604,332266,22670,79961,100
4,Arizona,3265925,166551,3191100,265752,3346319,172106,64652,100
5,Arkansas,1318465,47325,1274070,82509,1278984,53636,51146,100
6,California,18612607,796806,16996666,1934450,17541944,1381250,83001,100
8,Colorado,3019934,80664,2874857,212414,2986711,169399,77688,100
9,Connecticut,1881688,68661,1749954,147828,1739815,116108,79723,100
10,Delaware,466856,17989,449114,36699,469875,26555,71335,100
12,Florida,9928235,330963,9267151,827727,9843057,469711,61724,100
13,Georgia,4967503,185441,4751105,328450,4983732,203237,62800,100
15,Hawaii,667914,16776,582979,79512,630187,38226,86878,100
16,Idaho,862864,26330,848741,48998,884328,32728,62603,100
17,Illinois,6308535,260280,5781084,585632,5935974,382941,71243,100
18,Indiana,3282443,111320,3083159,239670,3203166,118382,60794,100
19,Iowa,1704063,45557,1595824,86433,1605206,70869,62362,100
20,Kansas,1450705,46812,1408965,84741,1447323,48342,63214,100
21,Kentucky,1986171,84238,1886999,129803,1941737,95205,54074,100
22,Louisiana,2010405,98005,1882665,179510,1949403,113089,51730,100
23,Maine,682271,19360,641262,33969,650334,31550,59145,100
24,Maryland,3212155,114342,3012106,215421,2992228,183322,88589,100
25,Massachusetts,3714547,117400,3390249,351435,3535478,215392,87288,100
26,Michigan,4766050,203244,4361873,484140,4495651,280459,61352,100
27,Minnesota,3021984,107860,2925515,197466,2918393,102967,75489,100
28,Mississippi,1207543,69600,1145211,98304,1184401,69838,47368,100
29,Missouri,2976643,95430,2853353,183809,2928368,134081,58812,100
30,Montana,522898,19381,511616,31301,531202,18541,57730,100
31,Nebraska,1016904,31916,1001426,43115,1022662,26371,64735,100
32,Nevada,1479777,61995,1299640,203208,1395939,108822,64608,100
33,New Hampshire,756267,20204,708566,51204,728940,26482,81415,100
34,New Jersey,4528168,158533,4203278,439667,4365397,295690,87095,100
35,New Mexico,916149,47655,860105,75601,879329,64027,52285,100
36,New York,9502625,377586,8631276,943756,8786280,655178,73354,100
37,North Carolina,4808270,191540,4505462,343431,4721198,238474,59616,100
38,North Dakota,406304,8865,390504,21046,391255,14932,64289,100
39,Ohio,5626326,244922,5263034,471145,5441879,295003,60360,100
40,Oklahoma,1782686,57513,1721525,114336,1783080,71154,54512,100
41,Oregon,2017379,77598,1944845,159713,2036138,112195,67832,100
42,Pennsylvania,6266508,294265,5893583,589187,5999442,406743,64898,100
44,Rhode Island,552057,20325,514911,52144,538969,32065,73919,100
45,South Carolina,2256313,64876,2191331,139532,2269813,94553,57216,100
46,South Dakota,448619,12991,441550,20074,453511,14504,61149,100
47,Tennessee,3226045,113498,3055830,243594,3185263,142703,56962,100
48,Texas,13381020,490760,12808616,1062258,13413036,807410,66048,100
49,Utah,1576421,41634,1562799,77627,1636150,45344,77785,100
50,Vermont,347600,8350,322078,19059,316941,11275,67717,100
51,Virginia,4332647,123168,4097860,270912,4100803,166853,79154,100
53,Washington,3764634,169140,3596814,332663,3708738,204775,80319,100
54,West Virginia,757484,39292,719175,63852,749132,39694,49202,100
55,Wisconsin,3021491,99099,2909004,196878,3016039,118400,64901,100
56,Wyoming,283377,11003,276739,16983,277372,13032,67284,100
72,Puerto Rico,1000363,90489,0,0,1079295,92816,0,0
